,许可证编号,公司名称,更改日期
35,Z2003932000016,南京市市民卡有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150100/index.html
36,Z2004111000017,天翼电子商务有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150103/index.html
37,Z2004211000016,联通支付有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150106/index.html
38,Z2004343000017,中移电子商务有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150109/index.html
39,Z2004431000010,开店宝支付服务有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150112/index.html
40,Z2004512000012,天津城市一卡通有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150115/index.html
41,Z2004632000017,瑞祥商务服务有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150118/index.html
42,Z2004742000014,武汉市金源信企业服务信息系统有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150121/index.html
43,Z2004844000011,广东银结通电子支付结算有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150124/index.html
44,Z2004951000010,现代金融控股（成都）有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150127/index.html
45,Z2005011000015,贝宝支付（北京）有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150130/index.html
46,Z2005150000016,重庆易极付科技有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150133/index.html
47,Z2005314000019,山西万卡德商务有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150139/index.html
48,Z2005423000017,哈尔滨华通支付网络科技有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150142/index.html
49,Z2005533000014,商盟商务服务有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150145/index.html
50,Z2005741000012,河南汇银丰信息技术有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150148/index.html
51,Z2005852000017,贵州汇联通电子商务服务有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150151/index.html
52,Z2005921000014,大连中鼎支付有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150154/index.html
53,Z2006033000017,宁波银联商务有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150157/index.html
54,Z2006244000012,重庆市钱宝科技服务有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150163/index.html
55,Z2006331000016,上海电银信息技术有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150166/index.html
56,Z2006444000010,易联支付有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150169/index.html
57,Z2006511000018,北京海科融通支付服务有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150172/index.html
58,Z2006735000018,中联信（福建）支付服务有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150175/index.html
59,Z2006844000016,深圳市腾付通电子支付科技有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150178/index.html
60,Z2006931000010,东方付通信息技术有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150181/index.html
61,Z2007111000010,易智付科技（北京）有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150184/index.html
62,Z2007244000010,顺丰恒通支付有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150187/index.html
63,Z2007444000018,易票联支付有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150190/index.html
64,Z2007644000016,深圳市深银联易办事金融服务有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150193/index.html
