,许可证编号,公司名称,注销日期,url
31,Z2024311000013,永超源支付科技有限公司,2018年7月6日,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081786/4149971/index.html
32,Z2025042000016,湖北蓝天星支付有限公司,2018年7月6日,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081786/4149974/index.html
33,Z2025265000016,新疆一卡通商务服务有限公司,2019年7月10日,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081786/4149977/index.html
34,Z2017213000016,御嘉支付有限公司,2020年9月8日,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081786/4149980/index.html
35,Z2022932000016,艾登瑞德（中国）有限公司,2020年9月8日,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081786/4149983/index.html
36,Z2012632000010,江苏省电子商务服务中心有限责任公司,2020年11月4日,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081786/4149986/index.html
37,Z2005634000012,安徽华夏通支付有限公司,2020年12月2日,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081786/4149989/index.html
38,Z2023014000015,山西金虎信息服务有限公司,2021年2月27日,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081786/4150584/index.html
39,Z2022534000018,安徽皖垦商务投资服务有限公司,2021年4月28日,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081786/4150575/index.html
40,Z2013531000010,上海大千商务服务有限公司,2021年7月8日,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081786/4150358/index.html
41,Z2003615000010,中网支付服务股份有限公司,2021年8月28日,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081786/4150094/index.html
42,Z2006135000014,厦门易通卡运营有限责任公司,2021年11月22日,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081786/4150160/index.html
43,Z2005213000011,河北一卡通电子支付服务有限公司,2021年12月22日,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081786/4150136/index.html
44,Z2009631000017,上海便利通电子商务有限公司,2021年12月22日,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081786/4150244/index.html
45,Z2009831000015,锦江国际商务有限公司,2021年12月22日,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081786/4150250/index.html
46,Z2009931000014,上海申城通商务有限公司,2021年12月22日,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081786/4150253/index.html
47,Z2015461000019,陕西邮政西邮寄电子支付有限责任公司,2022年1月12日,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081786/4150409/index.html
48,Z2023211000016,北京繁星山谷信息技术有限公司,2022年1月26日,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081786/4150587/index.html
49,Z2023835000012,福建省银通商务服务有限公司,2022年3月2日,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081786/4150602/index.html
50,Z2013031000015,上海新华传媒电子商务有限公司,2022年4月1日,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081786/4150343/index.html
51,Z2014737000010,山东城联一卡通支付有限责任公司,2022年5月16日,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081786/4150391/index.html
52,Z2018335000017,厦门象屿支付有限公司,2022年5月16日,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081786/4150476/index.html
53,Z2015144000014,深圳市商连商用电子技术有限公司,2022年5月20日,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081786/4150403/index.html
54,Z2019253000013,昆明卡互卡支付科技有限公司,2022年6月2日,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081786/4150494/index.html
55,Z2012931000018,上海亿付数字技术有限公司,2022年6月26日,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081786/4150340/index.html
56,Z2013131000014,上海商业高新技术发展有限公司,2022年6月26日,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081786/4150346/index.html
57,Z2013231000013,上海乐易信息技术有限公司,2022年6月26日,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081786/4150349/index.html
58,Z2013931000016,上海瑞得企业服务有限公司,2022年6月26日,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081786/4150367/index.html
59,Z2015711000017,商银信支付服务有限责任公司,2022年6月26日,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081786/4150418/index.html
60,Z2015811000016,北京市银博盛世电子商务有限公司,2022年6月26日,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081786/4150421/index.html
61,Z2016411000018,银信联（北京）支付有限公司,2022年6月26日,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081786/4150434/index.html
62,Z2016611000016,北京广聚福支付有限公司,2022年6月26日,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081786/4150437/index.html
63,Z2016811000014,国旅（北京）信息科技有限公司,2022年6月26日,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081786/4150443/index.html
64,Z2019045000016,广西支付通商务服务有限公司,2022年6月26日,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081786/4150491/index.html
65,Z2014944000019,汇通宝支付有限责任公司,2022年6月26日,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081786/4150397/index.html
